"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"73","LORETTA (2009)","66","18","44","3",131
"883","HALOUBET (2012)","0","0","0","130.4",130.4
"169","MEXICANA (2006)","17.5","32.8","31","49",130.3
"37","DARCO (2009)","130","0","0","0",130
"292","OLIVIA S (2006)","4.5","40.3","47","38",129.8
"104","WIFI S (2005)","42","21","10","56",129
"531","ERNEST W (2009)","0","53","0","76",129
"39","VIRGIN EXPRESS (1998)","127.25","0","0","0",127.25
"40","FANTASTIQUE OF THE LOWLANDS (2005)","127","0","0","0",127
"778","HUP (2012)","0","0","9","117.9",126.9
"171","PINCERTON (2006)","17","44","31","34",126
"567","QUICK TIME (2011)","0","16.8","62","47",125.8
"150","MIRAAŽ (2009)","22","103.5","0","0",125.5
"58","LONDON (2001)","94","30","0","0",124
"636","CHOCOLATE BLACKY (2009)","0","2","10","110.5",122.5
"205","NAVARRO (2011)","11","29","71","11",122
"82","TANGO (2005)","57","47","1","14",119
"145","SHADOWSTEP (2009)","24","94.5","0","0",118.5
"621","EMPEROR (2012)","0","3","54","61",118
"884","BEAUTY STAR K Z (2012)","0","0","0","118",118
"46","CATWOMAN XS (2005)","117","0","0","0",117
"47","PLATAAN (2009)","116","0","0","0",116
"216","PANCHITA (2006)","10","47.3","0","57.5",114.8
"89","VAYA BELLA (2002)","54.5","56.25","2","0",112.75
"338","OBORA`S JEUNESSE (2009)","3","0","90.5","17",110.5
"525","CALVE (2007)","0","80.5","30","0",110.5
"521","BRUCE DE BERKS (2010)","0","109","0","0",109
"710","IN STYLE N (2013)","0","0","50.8","57",107.8
"128","JILL VAN DE ROSHOEVE (2009)","30","77","0","0",107
"51","CINTE Z (2009)","105","0","0","0",105
"370","CESJA (2006)","2","4","64.9","34",104.9
"199","TESSICA (2000)","12","0","34","57.6",103.6
"728","CHARLOTTE DUNDAS (2012)","0","0","25","78.2",103.2
"464","SUNSHINE (2008)","1","99","3","0",103
"557","HILFIGER (2009)","0","20","73","9",102
"55","FOXSTOP VAN ESSENE (2005)","101","0","0","0",101
"739","CALANDA DE LAUBRY Z (2013)","0","0","21.8","77",98.8
"535","ROCKEFELLER DE BROGLIE C (2005)","0","43","51","0",94
"534","PARDOON (2004)","0","48","45","0",93
"69","OBORA`S GAMEBOY (2005)","76.6","8","7","0",91.6
"193","PAEONIA (2010)","12.5","77","1","0",90.5
"59","LANCE S (2002)","90","0","0","0",90
"610","AURO RA (2007)","0","4","0","86",90
"705","CESAR (2012)","0","0","88","2",90
"786","HERRERA (2013)","0","0","8.2","81",89.2
"735","VENTISETTE (2012)","0","0","23","66",89
"88","SIR SIRIUS (2004)","55","30","0","3",88
"79","PIRELLA (2005)","62.25","25.25","0","0",87.5
"731","MASCALINO (2012)","0","0","24","63.4",87.4
"724","EDDY (2013)","0","0","31.6","55",86.6
"885","WHITE DREAM (2009)","0","0","0","86",86
"730","LADY (2010)","0","0","24","61",85
"74","CHARLY M (2008)","65.4","9","10","0",84.4
"122","ADELANTE (2005)","31","53","0","0",84
"524","FOUR WINDS CELLO (2006)","0","84","0","0",84
"780","ROLEX (2007)","0","0","9","75",84
"886","ROYAL BUTTERFLY (2013)","0","0","0","84",84
"64","PEAK A BOO (2004)","82","1","0","0",83
"709","DAVINCI VAN DE BERNSE HOEVE (2008)","0","0","58","25",83
"65","CADO DE GREENBAY (2009)","81","0","0","0",81
"66","VIVALDI (2009)","81","0","0","0",81
"540","FORTUNA (2011)","0","34","39","8",81
"706","CAPRIOLAND (2000)","0","0","81","0",81
