"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"232","JOHNNY (2012, VP)","0","0","0","3",3
"75","E-TIBU (2006, VP)","2","0","0","0",2
"76","ELLEANOR XX (2007, SP)","2","0","0","0",2
"77","ESTRA (2010, SP)","2","0","0","0",2
"78","FELICIA (2004, SP)","2","0","0","0",2
"80","LITTLE PUMA (2007, VP)","2","0","0","0",2
"84","VIDOK (2003, VP)","2","0","0","0",2
"88","ARVIN (2009, VP)","1","0","1","0",2
"95","RUUDI-RUU (2010)","1","1","0","0",2
"145","EEBEN (2008, SP)","0","2","0","0",2
"146","ERROR (2009, VP)","0","2","0","0",2
"149","MARTSIPAN (2005, VP)","0","2","0","0",2
"152","TIIGER (2006, SP)","0","2","0","0",2
"162","STALLONE (2009, VP<130)","0","1","1","0",2
"163","SYLVESTER (2009, VP<130)","0","1","1","0",2
"206","ADELHEID (2003, VP)","0","0","2","0",2
"208","MILTON (2011, VP<130)","0","0","2","0",2
"209","MOOSES (2005, VP<130)","0","0","2","0",2
"210","O'DYKE (2012)","0","0","2","0",2
"87","REGULA (2004, SP)","1.5","0","0","0",1.5
"103","PALAS (2010, VP<130)","0.5","1","0","0",1.5
"89","BONNIE PENOTTI (2006, SP)","1","0","0","0",1
"90","FELIPE (2010)","1","0","0","0",1
"92","MY POLO JP (2008, SP)","1","0","0","0",1
"94","REDY FINN (2002, SP)","1","0","0","0",1
"96","SUZUKI (2006, SP)","1","0","0","0",1
"98","TORM (2000, SP)","1","0","0","0",1
"99","VEKS (2010)","1","0","0","0",1
"100","WOODY (1995, VP)","1","0","0","0",1
"155","MICHEL (2006, VP)","0","1","0","0",1
"156","MIMII (2006, SP)","0","1","0","0",1
"157","MON TANA (2011)","0","1","0","0",1
"159","ROBIN (2010)","0","1","0","0",1
"160","RUUDIK (2005, SP)","0","1","0","0",1
"161","SHOOBIE- DOOBIE- DO- WOP (2007, SP)","0","1","0","0",1
"212","COELENHAGE'S LELA (2010, VP)","0","0","1","0",1
"214","ROOSI (2009, SP)","0","0","1","0",1
"215","TARANEE (2012)","0","0","1","0",1
"216","TRISTAN J (2011, SP)","0","0","1","0",1
"233","SALSA (2008, SP)","0","0","0","1",1
"234","TRON (2013, SP)","0","0","0","1",1
"101","ANGELA (2006, SP)","0.5","0","0","0",0.5
"105","RANDER (2009)","0.5","0","0","0",0.5
"107","ROGER (2006, SP)","0.5","0","0","0",0.5
"108","ROSETA (2004, SP)","0.5","0","0","0",0.5
