"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"CSX";"CSX Corp.";"Industrials";47.87;-0.19;339595;1.81;0.72
"CTAS";"Cintas Corporation";"Industrials";114.57;0.19;7233;4.8;1.05
"CTL";"CenturyLink Inc";"Telecommunications Services";24.097;-1.363;1564590;1.697;2.16
"CTSH";"Cognizant Technology Solutions";"Information Technology";56.99;0.96;1912144;2.56;NA
"CTXS";"Citrix Systems";"Information Technology";77.99;0.39;137387;3.41;NA
"CVS";"CVS Health";"Consumer Staples";76.07;-1.25;1601134;4.67;2
"CVX";"Chevron Corp.";"Energy";111.84;0.23;225455;-0.27;4.32
"CXO";"Concho Resources";"Energy";137.51;1.57;47429;-10.26;NA
"D";"Dominion Resources";"Utilities";73.11;-0.31;56609;3.44;3.02
"DAL";"Delta Air Lines";"Industrials";48.35;0.52;322807;5.79;0.81
"DD";"Du Pont (E.I.)";"Materials";75.99;0.04;42189;2.86;1.52
"DE";"Deere & Co.";"Industrials";108.33;-0.07;58585;4.81;2.4
"DFS";"Discover Financial Services";"Financials";68.37;0.31;62672;5.77;1.2
"DG";"Dollar General";"Consumer Discretionary";77.08;2.68;299392;4.26;1
"DGX";"Quest Diagnostics";"Health Care";93.08;0.03;36000;4.51;1.8
"DHI";"D. R. Horton";"Consumer Discretionary";29.65;-0.8;211315;2.49;0.4
"DHR";"Danaher Corp.";"Industrials";83.02;0.05;87692;3.65;0.5
"DIS";"The Walt Disney Company";"Consumer Discretionary";109.72;0.66;548661;5.73;1.56
"DISCA";"Discovery Communications-A";"Consumer Discretionary";27.85;1.16;172105;1.77;NA
"DISCK";"Discovery Communications-C";"Consumer Discretionary";27.07;1.08;95143;1.77;NA
"DLPH";"Delphi Automotive";"Consumer Discretionary";73.88;-0.08;124942;4.59;1.16
"DLR";"Digital Realty Trust";"Real Estate";107.48;-0.25;41237;1.45;3.52
"DLTR";"Dollar Tree";"Consumer Discretionary";77.745;1.415;84491;3.401;NA
"DNB";"Dun & Bradstreet";"Industrials";103.84;-15.21;174403;2.62;1.93
"DOV";"Dover Corp.";"Industrials";77.78;0.03;23144;3.25;1.76
"DOW";"Dow Chemical";"Materials";59.8;0.12;145796;3.52;1.84
"DPS";"Dr Pepper Snapple Group";"Consumer Staples";92.4092;-0.3997;52423;4.606;2.12
"DRI";"Darden Restaurants";"Consumer Discretionary";74.12;0.93;37579;3.41;2.24
"DTE";"DTE Energy Co.";"Utilities";97.26;-1.49;197379;4.54;3.3
"DUK";"Duke Energy";"Utilities";78.4499;-0.2417;91213;4.134;3.42
"DVA";"DaVita Inc.";"Health Care";64.65;-0.06;29904;3.43;NA
"DVN";"Devon Energy Corp.";"Energy";44.4191;0.815;152739;-17.038;0.24
"EA";"Electronic Arts";"Information Technology";81.68;0.25;99620;4.12;NA
"EBAY";"eBay Inc.";"Information Technology";33.205;-0.135;494606;6.353;NA
"ECL";"Ecolab Inc.";"Materials";120.22;-0.1;17690;3.6;1.48
"ED";"Consolidated Edison";"Utilities";75.06;-0.25;51741;4.06;2.76
"EFX";"Equifax Inc.";"Financials";127.83;4.79;181957;3.95;1.32
"EIX";"Edison Int'l";"Utilities";74.61;-0.29;79816;2.7;2.17
"EL";"Estee Lauder Cos.";"Consumer Staples";82.69;0.24;94638;2.89;1.36
"EMN";"Eastman Chemical";"Materials";78.16;0.4;29655;5.84;2.04
"EMR";"Emerson Electric Company";"Industrials";62.7;0.46;174993;2.52;1.92
"ENDP";"Endo International";"Health Care";12.38;0.73;246762;-0.57;NA
"EOG";"EOG Resources";"Energy";98.645;0.515;123895;-2.264;0.67
"EQIX";"Equinix";"Real Estate";384.39;0.11;8539;1.11;7
"EQR";"Equity Residential";"Real Estate";61.45;0.05;71741;11.68;2.02
"EQT";"EQT Corporation";"Energy";62.09;0.68;108128;-2.71;0.12
