"","V1","V2","V3"
"3263","Heldur Tõnisson",2014,4375
"3264","Helmi Maide",2014,463
"3265","Laine Mustasaar",2014,823
"3266","Valerija Novodvorskaja",2014,2065
"3267","Nadine Gordimer",2014,3422
"3268","Lorin Maazel",2014,1151
"3269","Alice Coachman",2014,929
"3270","Johann Ruus",2014,775
"3271","Saint Lucia",2014,12095
"3272","Oleksandr Radijevskõi",2014,574
"3273","Jaan Arder",2014,6036
"3274","Bel Kaufman",2014,1158
"3275","Liidia Elken",2014,854
"3276","Eevart Arrak",2014,1229
"3277","Alfred Keerd",2014,1249
"3278","Mati Gilden",2014,871
"3279","Kaarin Raid",2014,4455
"3280","Tiit Koppel",2014,1374
"3281","Paul Lättemäe",2014,945
"3282","Aino Runge",2014,1157
"3283","Eljo Kaldalu",2014,689
"3284","Angéla Németh",2014,828
"3285","Ly Lehtmets-Lukk",2014,859
"3286","Robin Williams",2014,8269
"3287","Lauren Bacall",2014,2323
"3288","Arda-Maria Kirsel",2014,684
"3289","Eduardo Campos",2014,958
"3290","Kaija Aarikka",2014,765
"3291","Peeter Brambat",2014,1911
"3292","In Spe",2014,4708
"3293","Arvi Hallik",2014,2250
"3294","Levente Lengyel",2014,1664
"3295","Heino Viikholm",2014,472
"3296","Valgetähe IV klassi teenetemärgi",2014,NA
"3297","Nils Bernhard Sachris",2014,825
"3298","Jüri Takjas",2014,805
"3299","Mõkola Zelenets",2014,383
"3300","Ahti Pekkala",2014,476
"3301","Birgitta Stenberg",2014,674
"3302","Kaljo Kask",2014,1648
"3303","Benno Pludra",2014,841
"3304","Björn Waldegård",2014,1350
"3305","Oleg Kotðenovski",2014,1372
"3306","S<U+00E1>ndor Rozsnyói",2014,426
"3307","Antónis Vard<U+00ED>s",2014,732
"3308","Andres Kuresoo",2014,1167
"3309","Peter Carter",2014,877
"3310","Donatas Banionis",2014,2014
"3311","Joan Rivers",2014,1786
"3312","Gustavo Cerati",2014,1089
"3313","Helmut Pärnamägi",2014,641
"3314","Ottniell Jürissaar",2014,2194
"3315","Tõnu Karma",2014,948
"3316","Ingrid Polding",2014,543
"3317","Richard Kiel",2014,1694
"3318","Bengt Saltin",2014,557
"3319","Boris Valdek",2014,819
"3320","Rima Danilevièienë",2014,423
"3321","Peter von Bagh",2014,819
"3322","Arvo Sauks",2014,661
"3323","Harri Jõgisalu",2014,6531
"3324","Anatoli Berezovoi",2014,1317
"3325","Sergei Kljaðtornõi",2014,1736
"3326","Peeter Jakobi",2014,9382
"3327","Madis Kõiv",2014,7369
"3328","Remo Randver",2014,1278
"3329","Dorothy Tyler-Odam",2014,664
"3330","Endel Laul",2014,1538
"3331","Jaak Joala",2014,32901
"3332","Sulejman Tihiã",2014,610
"3333","<U+0130>rad<U+0259> Röv<U+015F><U+0259>n",2014,376
"3334","Peep Veski",2014,846
"3335","Lynsey de Paul",2014,1064
"3336","György L<U+00E1>z<U+00E1>r",2014,583
"3337","Jean-Claude Duvalier",2014,1823
"3338","Andrea de Cesaris",2014,1181
"3339","Pavlo Muravskõi",2014,510
"3340","Marian Seldes",2014,1055
"3341","Heino Pars",2014,3428
"3342","Helve Luik",2014,1144
"3343","Helle Kuningas",2014,1907
"3344","Valeri Karpov",2014,688
"3345","Aino Suviste",2014,564
"3346","Eve Viilup",2014,6935
"3347","Tarmo Leinatamm",2014,15113
"3348","Frants Oper",2014,1108
"3349","Berndt von Staden",2014,927
"3350","Étienne Mourrut",2014,616
"3351","Miloslava Rezkov<U+00E1>",2014,750
"3352","Alma Kadastik",2014,1105
"3353","Elsa Gretðkina",2014,4369
"3354","Óscar de la Renta",2014,952
"3355","Arville Puström-Uus",2014,723
"3356","The Washington Posti",2014,NA
"3357","Ku Klux Klani",2014,NA
"3358","Mbulaeni Mulaudzi",2014,929
"3359","Jack Bruce",2014,1524
"3360","Vello Volt",2014,935
"3361","Vello Pihelgas",2014,841
"3362","Ene Sarap",2014,3774
"3363","Michael Sata",2014,1323
"3364","Marko Tibar",2014,3005
"3365","Bostoni",2014,NA
"3366","Käbi Laretei",2014,7265
"3367","Wayne Static",2014,1358
"3368","Brittany Maynard",2014,535
"3369","Leo Karpin",2014,1884
"3370","Mare Palgi",2014,1117
"3371","Tiit Pokk",2014,2108
"3372","Mark Levin",2014,1676
"3373","Siim Poll",2014,3180
"3374","Maie Vinter",2014,838
"3375","Lidia Agosti",2014,1113
"3376","Ela Kogerman-Lepp",2014,1133
"3377","Urmas Kaju",2014,2553
"3378","Chicago",2014,16374
"3379","Glen A. Larson",2014,712
"3380","Serge Moscovici",2014,957
"3381","Enno Turmen",2014,981
"3382","Mike Nichols",2014,1212
"3383","Gerald Otieno Kajwang",2014,581
"3384","Maimu Palm",2014,817
"3385","Elmo Lööve",2014,1308
"3386","Vello Past",2014,1233
"3387","Viktor Tihhonov",2014,2110
"3388","Olaf Imelik",2014,2816
"3389","Stanisùaw Mikulski",2014,2202
"3390","Valentina Kullam",2014,931
"3391","Jacques Barrot",2014,1069
"3392","Toomas Põld",2014,1531
"3393","Külli Rikas",2014,562
"3394","Mango",2014,15594
"3395","Knut Nystedt",2014,809
"3396","Udo Mällo",2014,723
"3397","Endel Palmiste",2014,1098
"3398","Philip Knights, parun Knights",2014,466
"3399","Georges Lagrange",2014,488
"3400","Hans Wallat",2014,415
"3401","Michel du Cille",2014,524
"3402","Tõnu Jürvetson",2014,2700
"3403","Ernst Albrecht",2014,811
"3404","Maido Maadik",2014,1072
"3405","Tanel Tammemägi",2014,847
"3406","Asta Riivald",2014,591
"3407","Maret Käbin",2014,1270
"3408","Ranulph Glanville",2014,501
"3409","Vladimir Klinkov",2014,919
"3410","Udo Jürgens",2014,2464
"3411","Joe Cocker",2014,3847
"3412","Nate Fox",2014,1169
"3413","BC Kalev/Cramo",2014,8780
"3414","Buddy DeFranco",2014,898
"3415","Harald Aasa",2014,1737
"3416","Evald Reintam",2014,807
"3417","Odd Iversen",2014,689
"3418","Maimu-Koidula Sirel",2014,612
"3419","Miguel Dalmao",2014,653
"3420","Hardo Aasmäe",2014,8748
"3421","Ants Pärna",2014,1281
"3422","Jaak Pihlau",2014,1528
"3423","Edward Herrmann",2014,1001
"3424","Washington Rodr<U+00ED>guez",2014,634
"3425","Sündmused maailmas",2015,1775
"3426","Donna Douglas",2015,1004
"3427","Ulrich Beck",2015,2112
"3428","Edward Brooke",2015,1841
"3429","Olga Knjazeva",2015,969
"3430","Jouko Törmänen",2015,695
"3431","Paul Tammela",2015,1011
"3432","Georges Wolinski",2015,1014
"3433","Jean Cabut",2015,1078
"3434","Philippe Honoré",2015,997
"3435","Bernard Maris",2015,955
"3436","Maria Tilk",2015,4516
"3437","Bernard Velhac",2015,1087
"3438","Elsa Cayat",2015,951
"3439","Stéphane Charbonnier",2015,1258
"3440","Aini-Merike Remmel",2015,838
"3441","Francesco Rosi",2015,2271
"3442","Ilmar Kleis",2015,1287
"3443","Anita Ekberg",2015,1488
"3444","Bruno Visintin",2015,593
"3445","Ryszard Zub",2015,490
"3446","Voldemar Madisso",2015,741
"3447","Jelena Obraztsova",2015,1748
"3448","Gea Troska",2015,1094
"3449","Paul-Toomas Hage",2015,56
"3450","Karl Pribram",2015,1086
"3451","Frieda Bernstein",2015,1271
"3452","Anne Kirkbride",2015,799
"3453","Leon Brittan",2015,847
"3454","‘Abd Allâh ibn ‘Abd al-‘Azîz Âl Sa‘ûd",2015,1802
"3455","Otto Carius",2015,2756
"3456","Johan Martin Ferner",2015,663
"3457","Toller Cranston",2015,808
"3458","Demis Roussos",2015,3887
"3459","Vladimir-Georg Karassev-Orgusaar",2015,4492
"3460","Yves Chauvin",2015,1987
"3461","Colleen McCullough",2015,1552
"3462","Inna Taarna",2015,4146
"3463","Ülo Kaevats",2015,3874
"3464","Richard von Weizsäcker",2015,1735
"3465","Robert Nerman",2015,4609
"3466","Karl-Erik Palmér",2015,621
"3467","Stella Parland",2015,579
"3468","André Brink",2015,1205
"3469","Kathrine Windfeld",2015,520
"3470","Goldman Sachsi",2015,NA
"3471","Joe B. Mauldin",2015,573
"3472","Peeter Novoseltsev",2015,927
"3473","Kalju Kenk",2015,764
"3474","Roger Hanin",2015,876
"3475","Franjo Mihaliã",2015,835
"3476","Louis Jourdan",2015,1088
"3477","Annika Vendik",2015,1385
"3478","James Aldridge",2015,3652
"3479","Gennadi Taniel",2015,2513
"3480","Bertrice Small",2015,761
"3481","Rahhat Älijev",2015,966
"3482","Marian Szeja",2015,607
"3483","Juhan Paberit",2015,1764
"3484","Leonard Nimoy",2015,650
"3485","Boriss Nemtsov",2015,5422
"3486","Ya<U+015F>ar Kemal",2015,1288
"3487","Keith Donnellan",2015,713
"3488","Guido-Roland Raudver",2015,964
"3489","Leili Padevest",2015,1089
"3490","Veiko Vasar",2015,1615
"3491","Ülo Tedre",2015,2537
"3492","Eino Baskin",2015,22116
"3493","Karl Annuk",2015,921
"3494","Enno-Olavi Saks",2015,689
"3495","Terry Pratchett",2015,13659
"3496","Carl",2015,860
"3497","Olgred Aule",2015,997
"3498","Valentin Rasputin",2015,1930
"3499","Georg Seim",2015,1800
"3500","Lev Kuznetsov",2015,538
"3501","Tatjana Hallap",2015,1965
"3502","Ants Viires",2015,4246
"3503","Gerda van der Kade-Koudijs",2015,765
"3504","Uno Liiv",2015,1500
"3505","Karli Kukk",2015,822
"3506","J¸rgen Ingmann",2015,1672
"3507","Toivo Nikopensius",2015,3589
"3508","Peter Pið<U+0165>anek",2015,461
"3509","Lee Kuan Yew",2015,2104
"3510","Astrid Ivask",2015,1679
"3511","Oleg Brõþak",2015,920
"3512","Arnold Jannus",2015,725
"3513","Tomas Tranströmer",2015,3377
"3514","Albert Norak",2015,2185
"3515","Endel Tünder",2015,694
"3516","Gediminas Pranckûnas",2015,498
"3517","Anton Abe",2015,995
"3518","Misao Ôkawa",2015,891
"3519","John Lennoni",2015,NA
"3520","Manoel de Oliveira",2015,1474
"3521","Margus Tuuling",2015,1927
"3522","Hilja Jalviste",2015,978
"3523","Kayahan",2015,136
"3524","Bob Burns",2015,381
"3525","Klaus Rifbjerg",2015,1235
"3526","Peet Kokla",2015,857
"3527","Tõnu Tamm",2015,1830
"3528","Eva Saks",2015,1214
"3529","Pâvels Kovaïovs",2015,502
"3530","Gertrude Weaver",2015,1022
"3531","Romualdas Ozolas",2015,710
"3532","Margit Peil",2015,1262
"3533","Nina Companeez",2015,861
"3534","Rose Francine Rogombé",2015,680
"3535","Joþe Ciuha",2015,686
"3536","Al-Qâ‘idah",2015,9028
"3537","Günter Grass",2015,5826
"3538","Gunilla Wolde",2015,616
"3539","Jaroslav Hol<U+00ED>k",2015,716
"3540","Alvar Sammal",2015,1641
"3541","Urmas Jaamul",2015,1057
"3542","Ela-Heigi Martis",2015,810
"3543","Ferenc Konr<U+00E1>d",2015,728
"3544","Wùadysùaw Bartoszewski",2015,642
"3545","Raul Salumäe",2015,679
"3546","Indrek Paavle",2015,3419
"3547","Batõrhan Ðökenov",2015,321
"3548","Kaalujälgijate",2015,NA
"3549","Robert Kasemägi",2015,1401
"3550","Lennart Bodström",2015,514
"3551","Ben E. King",2015,1001
"3552","Rein Siim",2015,3953
"3553","Põhja-Korea",2015,46582
"3554","Yoshimi Kawade",2015,531
"3555","Boriss Ðkitkin",2015,519
"3556","Leida Kook",2015,831
"3557","Maija Plissetskaja",2015,3526
"3558","Ruth Rendell",2015,2646
"3559","Kaido Jaanson",2015,1782
"3560","Errol Brown",2015,897
"3561","Urve Lippus",2015,1662
"3562","Hans Bentzien",2015,867
"3563","Halldór <U+00C1>sgr<U+00ED>msson",2015,975
"3564","Gerald Götting",2015,798
"3565","Nelson Rockefelleri",2015,NA
"3566","Leili Iher",2015,1466
"3567","Garibaldi Kivisalu",2015,1181
"3568","Annarita Sidoti",2015,767
"3569","Juta Kurman",2015,1019
"3570","Kalju Reesalu",2015,725
"3571","Paul Kangur",2015,684
"3572","John Forbes Nash",2015,5217
"3573","Anne Meara",2015,817
"3574","Toivo Sikka",2015,620
"3575","Jonas Èepulis",2015,722
"3576","Andrus Saar",2015,2880
"3577","Doris Hart",2015,999
"3578","Tiit Sillaots",2015,623
"3579","Nicholas Liverpool",2015,803
"3580","Matti Milius",2015,8023
"3581","Giacomo Furia",2015,691
"3582","Eshel Ben-Jacob",2015,680
"3583","Pierre Brice",2015,1657
"3584","Sergei Ðarikov",2015,567
"3585","Christopher Lee",2015,3548
"3586","Vassili Þupikov",2015,402
"3587","Tarmo Riga",2015,4093
"3588","Jane Riga",2015,4211
"3589","Allan Valge",2015,3000
"3590","Fred Anton Maier",2015,930
"3591","David Premack",2015,688
"3592","Ornette Coleman",2015,1887
"3593","Ülemaailmse Eesti Kesknõukogu",2015,NA
"3594","Jim Ed Brown",2015,1715
"3595","Mati Soomre",2015,3080
"3596","Blaze Starr",2015,316
"3597","Milvi Torim",2015,977
"3598","Þanna Friske",2015,7648
"3599","Greg Parks",2015,536
"3600","Jeralean Talley",2015,1142
"3601","Süleyman Demirel",2015,2110
"3602","Clementa C. Pinckney",2015,571
"3603","Martin Krampen",2015,933
"3604","Esther Brand",2015,1003
"3605","Arved Viirlaid",2015,7014
"3606","Veijo Meri",2015,1516
"3607","Valentina Hein",2015,1455
"3608","Ene Pikk",2015,800
"3609","Ljubov Kozõreva",2015,1035
"3610","Boris Bernstein",2015,1774
"3611","Helmuth Lohner",2015,695
"3612","Nirmala Joshi",2015,683
"3613","Jevgeni Primakov",2015,3011
"3614","Hain Kinks",2015,1518
"3615","Sergei Stadnikov",2015,3401
"3616","Bronius Vyðniauskas",2015,524
"3617","Boriss Ðilkov",2015,858
"3618","Chris Squire",2015,1266
"3619","Urve Miller",2015,1038
"3620","Heino Sampu",2015,1015
"3621","Nicholas Winton",2015,1828
"3622","Vladimir Jadov",2015,1419
"3623","Robert Looga",2015,778
"3624","Jaime Morey",2015,958
"3625","Urve-Anne Kade",2015,727
"3626","Irene Leisner",2015,951
"3627","Linda Poots",2015,1272
"3628","Hans Sepp",2015,847
"3629","Martin Litchfield West",2015,791
"3630","Ildikó Schwarczenberger",2015,446
"3631","Philipp Mißfelder",2015,1433
"3632","Jules Bianchi",2015,2088
"3633","Urve Karuks",2015,1503
"3634","Alex Rocco",2015,973
"3635","Rein Vihalemm",2015,3260
"3636","Paavo Loosberg",2015,1058
"3637","Galina Prozumenðtðikova",2015,1237
"3638","Kuno Plaan",2015,1639
"3639","Edgar Lawrence Doctorow",2015,888
"3640","Marius Sagadi",2015,990
"3641","Vello Mäeots",2015,2430
"3642","Vassili Pitðul",2015,861
"3643","Semjon Ðkolnikov",2015,1262
"3644","Abdul Kalam",2015,2264
"3645","Erni Lõbu",2015,1306
"3646","Volita Paklar",2015,549
"3647","Leo Tõnisson",2015,716
"3648","Edward Natapei",2015,1223
"3649","Lulo Purre",2015,803
"3650","Endel Lippmaa",2015,8120
"3651","Nevil Blumberg",2015,3694
"3652","Chiara Pierobon",2015,607
"3653","Robert Conquest",2015,866
"3654","Johanna Quandt",2015,642
"3655","Antti Leppänen",2015,511
"3656","Ulla Lindkvist",2015,615
"3657","Elmar Saarepere",2015,685
"3658","Manuel Contreras",2015,866
"3659","Raal Kivi",2015,1297
"3660","Heino Relvik",2015,986
"3661","Inge Teder",2015,1441
"3662","Harald Nielsen",2015,479
"3663","Ines Jaagus",2015,950
"3664","Jaakko Hintikka",2015,1266
"3665","Ferdinand Veike",2015,4294
"3666","Evald Rink",2015,739
"3667","Max Greger",2015,746
"3668","Eduardo Guerrero",2015,756
"3669","Jüri Tümanok",2015,2244
"3670","Aleksander Heintalu",2015,13122
"3671","Armin Prinz zur Lippe",2015,634
"3672","Tatu Vanhanen",2015,1766
"3673","Valdur Napp",2015,634
"3674","Vardo Rumessen",2015,4332
"3675","Mihhail Svetin",2015,1302
"3676","Hain Toss",2015,824
"3677","Boriss Bunejev",2015,631
"3678","Vladimir Penart",2015,1503
"3679","Sylvie Joly",2015,766
"3680","Ülle Udam",2015,836
"3681","Leo Valdma",2015,766
"3682","Peeter Luksep",2015,1613
"3683","Silvia Rang",2015,734
"3684","Bengt Nyholm",2015,702
"3685","Franco Interlenghi",2015,853
"3686","Gohar Markosjan-Käsper",2015,1387
"3687","Kärt Jänes-Kapp",2015,2008
"3688","Rezo Tðeiðvili",2015,506
"3689","Kaljo Valgma",2015,592
"3690","Kalevi Wiik",2015,2728
"3691","Ron Springett",2015,647
"3692","Anne Metsala",2015,1124
"3693","Kurt Oppelt",2015,653
"3694","Ingrîda Andriòa",2015,6647
"3695","Marcin Wrona",2015,646
"3696","Mu<U+1E29>ammad bin Râshid Âl Maktûmi",2015,NA
"3697","Kalju Saareke",2015,4733
"3698","Olev Sau",2015,2939
"3699","Kârlis Zariòð<U+200E>",2015,NA
"3700","Ellis Kaut",2015,810
"3701","Jüri-Rivaldo Pastarus",2015,1744
"3702","Ulla Puolanne",2015,479
"3703","Uudo Pragi",2015,1555
"3704","John Guillermin",2015,991
"3705","Kalju Haan",2015,1786
"3706","Göran Hägg",2015,229
"3707","vigursuusataja",2015,NA
"3708","Brian Friel",2015,1925
"3709","Lembit Aader",2015,994
"3710","Eric Arturo Delvalle",2015,659
"3711","Bassel Khartabil",2015,1044
"3712","Henning Mankell",2015,4732
"3713","Toivo Jürimäe",2015,1108
"3714","Chantal Akerman",2015,995
"3715","<U+00C1>rp<U+00E1>d Göncz",2015,1326
"3716","Juhan Maidlo",2015,2182
"3717","Gene Allen",2015,709
"3718","Frank Zappa",2015,5531
"3719","Jurelang Zedkaia",2015,812
"3720","Richard Heck",2015,2002
"3721","Sue Lloyd-Roberts",2015,722
"3722","Mathieu Kérékou",2015,1648
"3723","Arvo Raimo",2015,1610
"3724","Jevgenia Haponen",2015,1657
"3725","Riin Kübarsepp",2015,267
"3726","Maie Kalnin",2015,743
"3727","Georgi Bõstrov",2015,2888
"3728","Mihhail Burtsev",2015,674
"3729","Aino Kolpakova",2015,738
"3730","Tatjana Nikolajeva",2015,1228
"3731","Enn Tomson",2015,979
"3732","Mark Murphy",2015,778
"3733","Margarita Hemlin",2015,674
"3734","Maira Asare",2015,725
"3735","Diane Charlemagne",2015,992
"3736","Herta Elviste",2015,8777
"3737","Ants Antson",2015,21411
"3738","Günter Schabowski",2015,1472
"3739","Colin Welland",2015,757
"3740","Csaba Fenyvesi",2015,709
"3741","Olav Keerberg",2015,863
"3742","Melissa Mathison",2015,843
"3743","Nora Brockstedt",2015,962
"3744","Karel Mejta",2015,660
"3745","Andrei Eðpai",2015,1104
"3746","Helmut Schmidt",2015,3375
"3747","Mati Lepik",2015,586
"3748","André Glucksmann",2015,2165
"3749","Georgi Jungvald-Hilkevitð",2015,1263
"3750","Phil Taylor",2015,1155
"3751","Maare Kümnik",2015,823
"3752","Rein Tamsalu",2015,1402
"3753","Lauri Vaska",2015,1346
"3754","Mal Whitfield",2015,979
"3755","Svetlana Kitova",2015,732
"3756","Linda Haglund",2015,719
"3757","Kim Young-sam",2015,1428
"3758","Douglass North",2015,2722
"3759","Vaike Lapp",2015,675
"3760","Aino Paal",2015,809
"3761","Noboru Karashima",2015,562
"3762","Heljo Sepp",2015,5786
"3763","Madis Lepasoo",2015,3205
"3764","Barbro Hiort af Ornäs",2015,841
"3765","Tahir El<U+00E7>i",2015,747
"3766","Astrid Lepa",2015,3828
"3767","Eldar Rjazanov",2015,2742
"3768","Vello Salum",2015,3382
"3769","Garald Kruger",2015,1008
"3770","Ernst Larsen",2015,795
"3771","Vladimir Þeleznikov",2015,1230
"3772","Dimit<U+0103>r Popov",2015,798
"3773","Ilmar Mändmets",2015,2572
"3774","Rrok Mirdita",2015,946
"3775","Shirley Stelfox",2015,655
"3776","Els Oksaar",2015,1624
"3777","Denis Héroux",2015,666
"3778","Igor Kaðintsev",2015,809
"3779","Eduard Schults",2015,681
"3780","Thomas Palm",2015,1118
"3781","Enno Selirand",2015,3637
"3782","Elle Mälberg",2015,1703
"3783","Linda Rummo",2015,9589
"3784","Peter Dickinson",2015,707
"3785","Mati Brauer",2015,1386
"3786","Börje Grönroos",2015,581
"3787","Karin Söder",2015,676
"3788","Mati Kärmas",2015,1140
"3789","Nadeþda Tðernobai",2015,7471
"3790","Aavo Keerme",2015,2455
"3791","Manuel Agujetas",2015,800
"3792","Haskell Wexler",2015,708
"3793","Stein Eriksen",2015,791
"3794","Lemmy Kilmister",2015,5896
"3795","Guru Josh",2015,1656
"3796","marathikeelne",2015,NA
"3797","Howard Davis",2015,893
"3798","Aivo Parring",2015,2059
"3799","Sündmused maailmas",2016,1775
"3800","Annie de Reuver",2016,693
"3801","Gilberto Mendes",2016,1062
"3802","Dale Bumpers",2016,823
"3803","Vilmos Zsigmond",2016,1200
"3804","Natasha Aguilar",2016,831
"3805","Marcel Barbeau",2016,777
"3806","Michel Delpech",2016,1404
"3807","Peter Naur",2016,1367
"3808","Igor Sergun",2016,1621
"3809","Relvajõudude",2016,NA
"3810","Michel Galabru",2016,1068
"3811","Pierre Boulez",2016,2889
"3812","avangardistlik",2016,NA
"3813","Anatoli Roðtðin",2016,732
"3814","Zoja Puhhova",2016,575
"3815","Mo<U+1E29>ammad Re<U+1E95>â Pahlavî",2016,3940
"3816","André Courr<U+00E8>ges",2016,806
"3817","Maria Teresa de Filippis",2016,881
"3818","Wim Bleijenberg",2016,339
"3819","David Bowie",2016,51302
"3820","David Margulies",2016,731
"3821","Anti Marguste",2016,3984
"3822","Peet Gustel",2016,1272
"3823","Dave Sime",2016,787
"3824","Toomas Roosileht",2016,501
"3825","Mati Heinsar",2016,4216
"3826","Leonid Þabotõnskõi",2016,1187
"3827","Ellen Meiksins Wood",2016,403
"3828","Alan Rickman",2016,8881
"3829","Manuel Vel<U+00E1>zquez",2016,668
"3830","Albert Maloverjan",2016,699
"3831","Hubert Giraud",2016,916
"3832","Jaan Vares",2016,1889
"3833","Wolfgang Schnur",2016,354
"3834","Ninel Järvson",2016,1239
"3835","Raivo Ruukel",2016,1887
"3836","Michel Tournier",2016,1789
"3837","Glenn Frey",2016,882
"3838","Edmonde Charles-Roux",2016,1545
"3839","Bill Johnson",2016,927
"3840","zaza",2016,NA
"3841","Nikolai Abramov",2016,267
"3842","Marvin Minsky",2016,2352
"3843","Meeli Veskus",2016,886
"3844","Urmas Petti",2016,4593
"3845","Ago Liblik",2016,1851
"3846","Paul Kantner",2016,855
"3847","Ragnhildur Helgadóttir",2016,517
"3848","Saulius Sondeckis",2016,1354
"3849","Joe Alaskey",2016,1127
"3850","Edgar Mitchell",2016,1047
"3851","Dave Mirra",2016,2682
"3852","Otto Kuusik",2016,932
"3853","John Disley",2016,154
"3854","Sushîl Koîrâlâ",2016,946
"3855","Siima Ðkop",2016,4818
"3856","Jaanus Juul",2016,990
"3857","Ants Juske",2016,6813
"3858","Ines Rannap",2016,2423
"3859","Antonin Scalia",2016,1405
"3860","Wiesùaw Rudkowski",2016,560
"3861","George Gaynes",2016,2588
"3862","Boutros Boutros-Ghali",2016,3503
"3863","Harper Lee",2016,4113
"3864","Umberto Eco",2016,8450
"3865","Imbi Kose",2016,450
"3866","Dr Nick",2016,795
"3867","Harri Henn",2016,3890
"3868","Naftoli Bassel",2016,939
"3869","Pekka Kokkonen",2016,578
"3870","Eri Klas",2016,55319
"3871","George Kennedy",2016,1301
"3872","Anna-Leena Siikala",2016,826
"3873","Aare Suss",2016,805
"3874","Lembit Andresen",2016,2999
"3875","Raoul Üksvärav",2016,2939
"3876","Berta C<U+00E1>ceres",2016,979
"3877","Nikolaus Harnoncourt",2016,980
"3878","Nancy Reagan",2016,3279
"3879","Börje Karvonen",2016,660
"3880","George Martin",2016,2493
"3881","Keith Emerson",2016,1614
"3882","Anu Liivak",2016,4010
"3883","Iolanda Bala<U+015F>",2016,1843
"3884","Dragan Nikoliã",2016,784
"3885","Vaike Tiik",2016,1605
"3886","Hilary Putnam",2016,2060
"3887","Georg Sander",2016,1306
"3888","Lembit Saarts",2016,2531
"3889","Tõnis Soop",2016,2009
"3890","Solomon Marcus",2016,1425
"3891","Urve Kalamees",2016,204
"3892","Andrus Kasemaa",2016,4394
"3893","Werner Skowron",2016,704
"3894","Guido Westerwelle",2016,1821
"3895","Raul Talvik",2016,1331
"3896","Anker J¸rgensen",2016,949
"3897","Rob Ford",2016,1462
"3898","Johan Cruijff",2016,5475
"3899","Garry Shandling",2016,984
"3900","Roger Cicero",2016,139
"3901","Olavi Kärner",2016,1620
"3902","Lilian Linnaks",2016,1223
"3903","Edmund Piàtkowski",2016,1020
"3904","Ivar Etverk",2016,1714
"3905","Patty Duke",2016,732
"3906","Aleksandr Levitð",2016,966
"3907","Béla Biszku",2016,599
"3908","Hans-Dietrich Genscher",2016,2247
"3909","Imre Kertész",2016,3540
"3910","Zaha Hadid",2016,2766
"3911","Lola Novakoviã",2016,136
"3912","Merle Haggard",2016,2503
"3913","Urmo Kööbi",2016,1487
"3914","Ülle Ulla",2016,24062
"3915","Heikki Hortling",2016,655
"3916","Nicolo Gargano",2016,732
"3917","Albert Filozov",2016,811
"3918","Niina Raadik",2016,2322
"3919","Kalju Soo",2016,851
"3920","Enn Realo",2016,1527
"3921","Endel Purju",2016,950
"3922","Ressi Kaera",2016,1090
"3923","Andrus Vaht",2016,1944
"3924","Prince",2016,7481
"3925","Tõnu Reimann",2016,1256
"3926","Tiina Jaaksoo",2016,168
"3927","Dmõtro Gnatjuk",2016,852
"3928","Afeni Shakur",2016,1208
"3929","Jean-Baptiste Bagaza",2016,865
"3930","Margot Honecker",2016,1748
"3931","William Schallert",2016,749
"3932","Riki Sorsa",2016,1400
"3933","Ilkka Hanski",2016,2106
"3934","Peeter Kopvillem",2016,5316
"3935","Antonius John",2016,860
"3936","Susannah Mushatt Jones",2016,1316
"3937","Henn Tuherm",2016,978
"3938","Leo Nurmand",2016,1677
"3939","Lasse Mårtenson",2016,164
"3940","Ülo Emmus",2016,1891
"3941","Müzahir Sille",2016,537
"3942","Kornél Pajor",2016,615
"3943","Alan Young",2016,639
"3944","Villu Astok",2016,1083
"3945","Tatjana Zarutskihh",2016,621
"3946","Bata Þivojinoviã",2016,640
"3947","Kaljo Alaküla",2016,2620
"3948","Tõnu Mäsak",2016,801
"3949","Ellen Niit",2016,38143
"3950","Oivi Aakre",2016,1533
"3951","Kalev Pensa",2016,758
"3952","Corry Brokken",2016,2075
"3953","Muhammad Ali",2016,12563
"3954","Antti Hyry",2016,1353
"3955","Jerome Bruner",2016,2303
"3956","Viktor Kortðnoi",2016,1541
"3957","Jakub Woùàsiewicz",2016,777
"3958","Gordie Howe",2016,1230
"3959","Andres Laasik",2016,4982
"3960","Christina Grimmie",2016,7958
"3961","Vladimir Dolgopolov",2016,790
"3962","Valli Lember-Bogatkina",2016,6107
"3963","Ell-Maaja Randküla",2016,809
"3964","Jo Cox",2016,1681
"3965","Tähti Saar",2016,647
"3966","Sverre Kjelsberg",2016,767
"3967","Mihhail Saltun",2016,606
"3968","Andres Root",2016,2213
"3969","Giuseppe Ferrara",2016,753
"3970","Bud Spencer",2016,2480
"3971","Marina Sillaste",2016,610
"3972","Kesselaiu",2016,NA
"3973","Martin Lundström",2016,686
"3974","Bengt von zur Mühlen",2016,896
"3975","Elie Wiesel",2016,4261
"3976","Michel Rocard",2016,844
"3977","Raivo Kaer",2016,4458
"3978","Tõnis Käo",2016,973
"3979","Jüri Renter",2016,718
"3980","Laur Palgi",2016,2099
"3981","Galina Tðesnokova",2016,596
"3982","Goran Hadþiã",2016,1419
"3983","Astrid Saare",2016,679
"3984","Péter Esterh<U+00E1>zy",2016,603
"3985","Qandeel Baloch",2016,704
"3986","Bonnie Brown",2016,652
"3987","Nate Thurmond",2016,769
"3988","Wendell Anderson",2016,559
"3989","Svetlana Doroðenko",2016,2198
