fare_id,price,currency_type,payment_method,transfers,agency_id
275,1.35,EUR,0,0,586
276,1.45,EUR,0,0,586
277,1.30,EUR,0,0,586
278,1.00,EUR,0,0,586
279,1.25,EUR,0,0,586
280,0.85,EUR,0,0,586
281,1.80,EUR,0,0,586
282,0.75,EUR,0,0,586
283,2.10,EUR,0,0,586
284,1.55,EUR,0,0,586
285,1.15,EUR,0,0,586
286,1.85,EUR,0,0,586
287,1.90,EUR,0,0,586
288,1.75,EUR,0,0,586
289,1.05,EUR,0,0,586
290,1.10,EUR,0,0,586
291,1.60,EUR,0,0,586
292,1.70,EUR,0,0,586
293,3.00,EUR,0,0,71
294,2.80,EUR,0,0,71
295,2.25,EUR,0,0,71
296,2.15,EUR,0,0,71
297,2.90,EUR,0,0,71
298,2.55,EUR,0,0,71
299,2.75,EUR,0,0,71
300,2.70,EUR,0,0,71
301,2.50,EUR,0,0,71
302,2.60,EUR,0,0,71
303,2.85,EUR,0,0,71
304,2.95,EUR,0,0,71
305,2.45,EUR,0,0,71
306,2.35,EUR,0,0,71
307,1.65,EUR,0,0,71
308,1.95,EUR,0,0,71
309,1.75,EUR,0,0,71
310,2.65,EUR,0,0,71
311,2.05,EUR,0,0,71
312,1.85,EUR,0,0,71
313,0.55,EUR,0,0,60
314,3.35,EUR,0,0,60
315,4.40,EUR,0,0,60
316,3.05,EUR,0,0,60
317,4.15,EUR,0,0,60
318,3.30,EUR,0,0,60
319,4.10,EUR,0,0,60
320,3.25,EUR,0,0,60
321,3.10,EUR,0,0,60
322,3.60,EUR,0,0,60
323,3.15,EUR,0,0,60
324,3.50,EUR,0,0,60
325,3.20,EUR,0,0,60
326,3.55,EUR,0,0,60
327,3.45,EUR,0,0,60
328,3.95,EUR,0,0,60
329,3.80,EUR,0,0,60
330,3.90,EUR,0,0,60
331,3.40,EUR,0,0,60
332,3.75,EUR,0,0,60
333,3.85,EUR,0,0,60
334,3.65,EUR,0,0,60
335,4.00,EUR,0,0,60
336,3.70,EUR,0,0,60
337,4.05,EUR,0,0,60
338,4.35,EUR,0,0,60
339,4.20,EUR,0,0,60
340,2.70,EUR,0,0,100047
341,0.65,EUR,0,0,317
342,0.55,EUR,0,0,317
343,0.45,EUR,0,0,317
344,0.85,EUR,0,0,317
345,0.35,EUR,0,0,317
346,0.75,EUR,0,0,317
347,0.40,EUR,0,0,317
348,0.95,EUR,0,0,317
349,1.05,EUR,0,0,317
350,1.15,EUR,0,0,317
351,1.35,EUR,0,0,317
352,99.90,EUR,0,0,60
353,0.00,EUR,0,0,60
354,3.40,EUR,0,0,71
355,3.10,EUR,0,0,71
356,3.50,EUR,0,0,71
357,3.20,EUR,0,0,71
358,3.30,EUR,0,0,71
359,3.60,EUR,0,0,71
360,1.11,EUR,0,0,25
361,2.10,EUR,0,0,25
362,2.25,EUR,0,0,25
363,3.00,EUR,0,0,99
364,2.15,EUR,0,0,219
365,2.45,EUR,0,0,219
366,2.65,EUR,0,0,219
367,1.90,EUR,0,0,219
368,2.35,EUR,0,0,219
369,1.45,EUR,0,0,317
370,1.95,EUR,0,0,317
371,1.25,EUR,0,0,317
372,1.55,EUR,0,0,317
373,1.85,EUR,0,0,317
374,1.65,EUR,0,0,317
375,3.35,EUR,0,0,317
376,3.95,EUR,0,0,317
377,2.50,EUR,0,0,317
378,2.45,EUR,0,0,317
379,2.90,EUR,0,0,317
380,1.75,EUR,0,0,317
381,3.60,EUR,0,0,317
382,3.50,EUR,0,0,317
383,3.05,EUR,0,0,317
384,4.85,EUR,0,0,317
385,2.35,EUR,0,0,317
386,2.55,EUR,0,0,317
387,5.35,EUR,0,0,317
388,4.90,EUR,0,0,317
389,4.70,EUR,0,0,317
390,3.90,EUR,0,0,317
391,5.30,EUR,0,0,317
392,2.95,EUR,0,0,317
393,2.25,EUR,0,0,317
394,3.80,EUR,0,0,317
395,3.85,EUR,0,0,317
396,2.80,EUR,0,0,317
397,3.30,EUR,0,0,317
398,5.70,EUR,0,0,317
399,3.00,EUR,0,0,317
400,4.10,EUR,0,0,317
401,2.65,EUR,0,0,317
402,4.30,EUR,0,0,317
403,3.40,EUR,0,0,317
404,2.85,EUR,0,0,317
405,3.45,EUR,0,0,317
406,2.60,EUR,0,0,317
407,5.15,EUR,0,0,317
408,2.70,EUR,0,0,317
409,5.05,EUR,0,0,317
410,3.75,EUR,0,0,317
411,3.20,EUR,0,0,317
412,4.05,EUR,0,0,317
413,4.50,EUR,0,0,317
414,2.75,EUR,0,0,317
415,3.15,EUR,0,0,317
416,4.20,EUR,0,0,317
417,5.10,EUR,0,0,317
418,3.10,EUR,0,0,317
419,4.65,EUR,0,0,317
420,2.05,EUR,0,0,317
421,2.15,EUR,0,0,317
422,4.80,EUR,0,0,317
423,5.55,EUR,0,0,317
424,4.25,EUR,0,0,317
425,4.40,EUR,0,0,317
426,3.25,EUR,0,0,317
427,3.70,EUR,0,0,317
428,4.75,EUR,0,0,317
429,5.25,EUR,0,0,317
430,4.00,EUR,0,0,317
431,4.95,EUR,0,0,317
432,5.40,EUR,0,0,317
433,4.45,EUR,0,0,317
434,4.35,EUR,0,0,317
435,3.55,EUR,0,0,317
436,4.15,EUR,0,0,317
437,3.65,EUR,0,0,317
438,5.00,EUR,0,0,317
439,4.55,EUR,0,0,317
440,4.60,EUR,0,0,317
441,0.00,EUR,0,0,317
442,5.45,EUR,0,0,317
443,2.80,EUR,0,0,25
444,3.25,EUR,0,0,25
445,2.50,EUR,0,0,25
446,2.95,EUR,0,0,25
447,2.35,EUR,0,0,25
448,2.65,EUR,0,0,25
449,3.15,EUR,0,0,25
450,2.45,EUR,0,0,25
451,3.40,EUR,0,0,25
452,2.60,EUR,0,0,25
453,2.90,EUR,0,0,25
454,2.70,EUR,0,0,25
455,2.75,EUR,0,0,25
456,3.10,EUR,0,0,25
457,2.40,EUR,0,0,25
458,2.55,EUR,0,0,25
459,3.50,EUR,0,0,25
460,3.30,EUR,0,0,25
461,3.05,EUR,0,0,25
462,3.00,EUR,0,0,25
463,3.20,EUR,0,0,25
464,2.85,EUR,0,0,25
465,1.90,EUR,0,0,82
466,2.50,EUR,0,0,82
467,2.40,EUR,0,0,82
468,1.20,EUR,0,0,82
469,2.00,EUR,0,0,82
470,4.00,EUR,0,0,82
471,3.20,EUR,0,0,82
472,3.10,EUR,0,0,82
473,4.30,EUR,0,0,82
474,4.90,EUR,0,0,82
475,1.70,EUR,0,0,82
476,5.50,EUR,0,0,82
477,1.30,EUR,0,0,82
478,3.00,EUR,0,0,82
479,0.90,EUR,0,0,82
480,3.70,EUR,0,0,82
481,4.10,EUR,0,0,82
482,3.60,EUR,0,0,82
483,2.34,EUR,0,0,60
484,2.71,EUR,0,0,60
485,1.70,EUR,0,0,219
486,1.91,EUR,0,0,60
487,0.90,EUR,0,0,117
488,1.60,EUR,0,0,117
489,8.20,EUR,0,0,82
490,10.30,EUR,0,0,82
491,2.60,EUR,0,0,82
492,6.80,EUR,0,0,82
493,2.70,EUR,0,0,82
494,4.60,EUR,0,0,82
495,8.30,EUR,0,0,82
496,4.20,EUR,0,0,82
497,9.70,EUR,0,0,82
498,2.10,EUR,0,0,82
499,1.00,EUR,0,0,82
500,3.80,EUR,0,0,82
501,1.80,EUR,0,0,82
502,6.50,EUR,0,0,82
503,5.70,EUR,0,0,82
504,7.10,EUR,0,0,82
505,3.30,EUR,0,0,82
506,6.10,EUR,0,0,82
507,6.00,EUR,0,0,82
508,7.80,EUR,0,0,82
509,1.40,EUR,0,0,82
510,2.80,EUR,0,0,82
511,5.60,EUR,0,0,82
512,7.90,EUR,0,0,82
513,5.10,EUR,0,0,82
514,1.60,EUR,0,0,82
515,4.50,EUR,0,0,82
516,6.90,EUR,0,0,82
517,5.20,EUR,0,0,82
518,6.20,EUR,0,0,82
519,10.50,EUR,0,0,82
520,7.50,EUR,0,0,82
521,4.80,EUR,0,0,82
522,9.00,EUR,0,0,82
523,3.90,EUR,0,0,82
524,6.70,EUR,0,0,82
525,5.80,EUR,0,0,82
526,3.50,EUR,0,0,82
527,7.30,EUR,0,0,82
528,5.30,EUR,0,0,82
529,2.30,EUR,0,0,82
530,2.90,EUR,0,0,82
531,7.40,EUR,0,0,82
532,5.00,EUR,0,0,82
533,2.20,EUR,0,0,82
534,5.40,EUR,0,0,82
535,10.40,EUR,0,0,82
536,7.70,EUR,0,0,82
537,9.30,EUR,0,0,82
538,8.60,EUR,0,0,82
539,4.70,EUR,0,0,82
540,1.10,EUR,0,0,82
541,4.40,EUR,0,0,82
542,5.90,EUR,0,0,82
543,3.40,EUR,0,0,82
544,11.40,EUR,0,0,82
545,9.10,EUR,0,0,82
546,8.50,EUR,0,0,82
547,8.00,EUR,0,0,82
548,6.40,EUR,0,0,82
549,1.10,EUR,0,0,74
550,1.40,EUR,0,0,74
551,2.40,EUR,0,0,74
552,0.50,EUR,0,0,74
553,1.70,EUR,0,0,74
554,0.60,EUR,0,0,74
555,0.80,EUR,0,0,74
556,0.70,EUR,0,0,74
557,1.90,EUR,0,0,74
558,2.20,EUR,0,0,74
559,1.00,EUR,0,0,74
560,1.30,EUR,0,0,74
561,1.60,EUR,0,0,74
562,1.80,EUR,0,0,74
563,1.20,EUR,0,0,74
564,1.50,EUR,0,0,74
565,2.00,EUR,0,0,74
566,2.30,EUR,0,0,74
567,2.10,EUR,0,0,74
568,0.90,EUR,0,0,74
569,0.30,EUR,0,0,317
570,7.60,EUR,0,0,82
571,8.90,EUR,0,0,82
572,8.10,EUR,0,0,82
573,7.00,EUR,0,0,82
574,6.60,EUR,0,0,82
575,1.50,EUR,0,0,82
576,4.65,EUR,0,0,60
577,4.30,EUR,0,0,60
578,4.25,EUR,0,0,60
579,4.60,EUR,0,0,60
580,5.05,EUR,0,0,60
581,5.15,EUR,0,0,60
582,4.45,EUR,0,0,60
583,5.25,EUR,0,0,60
584,4.55,EUR,0,0,60
585,5.65,EUR,0,0,60
586,4.75,EUR,0,0,60
587,5.00,EUR,0,0,60
588,4.85,EUR,0,0,60
589,5.45,EUR,0,0,60
590,4.90,EUR,0,0,60
591,5.60,EUR,0,0,60
592,5.20,EUR,0,0,60
593,5.10,EUR,0,0,60
594,4.70,EUR,0,0,60
595,5.50,EUR,0,0,60
596,5.35,EUR,0,0,60
597,4.50,EUR,0,0,60
598,5.85,EUR,0,0,60
